JCR Year and Edition: 2010 Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS CHEM NEUROSCI;1948-7193;59;;;0.690;71;;0.00003;;
ACTA NEUROBIOL EXP;0065-1400;795;1.533;1.576;0.432;44;6.5;0.00174;0.428;
ACTA NEUROL BELG;0300-9009;382;0.416;0.678;0.034;59;9.1;0.00071;0.201;
ACTA NEUROPATHOL;0001-6322;9540;7.695;5.963;1.929;127;8.1;0.02347;1.930;
ACTA NEUROPSYCHIATR;0924-2708;240;0.529;0.656;0.536;69;3.7;0.00063;0.177;
ACTAS ESP PSIQUIATRI;1139-9287;366;0.695;0.823;0.000;46;5.3;0.00076;0.148;
ACUPUNCTURE ELECTRO;0360-1293;332;1.000;1.214;0.222;9;>10.0;0.00016;0.115;
AKTUEL NEUROL;0302-4350;141;0.327;0.208;0.102;59;4.3;0.00022;0.028;
ANN NEUROL;0364-5134;30338;10.746;10.132;1.708;192;9.1;0.07254;3.995;
ANNU REV NEUROSCI;0147-006X;11465;26.756;30.559;2.350;20;9.2;0.03328;16.820;
ARCH ITAL BIOL;0003-9829;445;0.778;0.767;0.065;31;>10.0;0.00045;0.268;
ARQ NEURO-PSIQUIAT;0004-282X;1707;0.574;0.667;0.041;147;6.8;0.00326;0.152;
ASN NEURO;1759-0914;109;3.833;3.833;0.750;20;1.4;0.00067;1.429;
AUDIOL NEURO-OTOL;1420-3030;1298;2.228;2.592;0.409;44;6.5;0.00412;0.975;
AUTON NEUROSCI-BASIC;1566-0702;1589;1.671;1.763;0.354;127;4.9;0.00550;0.563;
BEHAV BRAIN FUNCT;1744-9081;710;2.305;;0.329;76;3.5;0.00416;;
BEHAV BRAIN RES;0166-4328;14964;3.393;3.302;0.672;491;6.5;0.03836;0.974;
BEHAV BRAIN SCI;0140-525X;5902;21.952;24.509;3.667;6;>10.0;0.01261;11.401;
BEHAV NEUROSCI;0735-7044;7420;2.481;2.676;0.430;86;>10.0;0.01287;0.911;
BEHAV PHARMACOL;0955-8810;2484;2.530;2.774;0.250;80;6.9;0.00647;0.847;
BIOL CYBERN;0340-1200;4489;1.667;2.074;0.424;66;>10.0;0.00538;0.738;
BIOL PSYCHIAT;0006-3223;32972;8.674;9.441;1.565;317;6.3;0.10461;3.325;
BIPOLAR DISORD;1398-5647;3621;5.221;5.006;0.675;83;4.5;0.01307;1.409;
BMC NEUROSCI;1471-2202;2528;3.091;3.347;0.297;158;3.6;0.01380;1.199;
BRAIN;0006-8950;35378;9.232;10.143;1.530;283;7.6;0.09945;3.766;
BRAIN BEHAV EVOLUT;0006-8977;1939;1.968;2.251;0.255;47;>10.0;0.00341;0.834;
