Espia	Rango	Codigo

Abhigyan	199	8
Afanasi	97	7
Afanasy	138	7
Agafya	61	6
Agnessa	150	7
Agrafena	198	8
Agrafina	189	8
Ahmar	120	5
Akeila	101	6
Aksana	171	6
Aksinya	21	7
Akulina	99	7
Alek	115	4
Aleksei	184	7
Aleksey	167	7
Aleksi	187	6
Aleksis	53	7
Alewndra	69	8
Alexey	47	6
Alik	7	4
Alla	57	4
Aloyoshenka	182	11
Aloysha	200	7
Alyona	63	6
Alyusha	106	7
Amalija	149	7
Amaliji	4	7
Ananya	170	6
Anatoli	196	7
Anatoliy	3	8
Anatoly	87	7
Andrusha	194	8
Anechka	99	7
Anfisa	24	6
Anitchka	55	8
Annick	49	6
Anouck	22	6
Anouk	44	5
Anoushka	168	8
Anouska	122	7
Antinko	14	7
Antosha	189	7
Anuva	21	5
Anzor	129	5
Apollinariya	173	12
Arkadiy	187	7
Arkady	116	6
Artemi	26	6
Avdotya	56	7
Avicknash	163	9
Avienda	32	7
Aylena	112	6
Bogdashha	144	9
Bohdana	32	7
Boleslava	174	9
Bolodenka	50	9
Borya	180	5
Boryenka	178	8
Bronya	19	6
Calina	175	6
Cheslav	180	7
Ctekosa	105	7
Cyzarine	169	8
Czar	79	4
Czarina	129	7
Daniil	24	6
Daniilka	128	8
Daniilushka	150	11
Dema	67	4
Demyan	96	6
Desya	72	5
Dimitra	81	7
Dimitre	85	7
Dimitri	92	7
Dimitrios	9	9
Dimitry	57	7
Dmitr	79	5
Dmitri	124	6
Dmitriy	83	7
Dmitry	134	6
Dorofei	87	7
Doroteya	114	8
Dunyasha	46	8
Dyveke	30	6
Edik	146	4
Efrem	19	5
Egor	79	4
Ekaterina	125	9
Erast	197	5
Ermolai	98	7
Eveshka	100	7
Evgeniy	177	7
Evgeniya	2	8
Evia	69	4
Evokiya	55	7
Evpraksiya	131	10
Fabi	93	4
Fadeaushka	183	10
Fadeuka	80	7
Fayina	159	6
Fedor	79	5
Fedyenka	152	8
Feliks	39	6
Feofilakt	163	9
Ferapont	43	8
Filat	48	5
Fjodor	19	6
Foka	121	4
Fredek	172	6
Fyodor	101	6
Galina	55	6
Galine	58	6
Garsha	15	6
Gasha	100	5
Gav	87	3
Gavrel	161	6
Gavrie	119	6
Gavriil	166	7
Gavrilovich	86	11
Gennadi	115	7
Gennadiy	63	8
Gennady	185	7
Georgiy	91	7
Gerasim	65	7
Glafira	54	7
Gleb	146	4
Gregori	196	7
Grigorii	146	8
Grigoriy	128	8
Grigory	75	7
Grisha	105	6
Grusha	6	6
Hedeon	27	6
Helina	143	6
Ignati	169	6
Ilari	69	5
