JCR Year and Edition: 2010 Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AI EDAM;0890-0604;299;0.640;1.035;0.100;30;7.3;0.00087;0.399;
ASSEMBLY AUTOM;0144-5154;228;0.645;0.577;0.027;37;6.5;0.00056;0.152;
CIRP ANN-MANUF TECHN;0007-8506;4080;1.684;1.760;0.077;155;9.8;0.00721;0.515;
COMPOS PART A-APPL S;1359-835X;6103;2.349;2.870;0.307;215;5.7;0.01847;0.862;
CONCURRENT ENG-RES A;1063-293X;316;0.553;0.977;0.043;23;7.1;0.00059;0.238;
DESIGN STUD;0142-694X;885;1.354;1.752;0.071;28;8.8;0.00133;0.447;
FLEX SERV MANUF J;1936-6582;2;0.200;0.200;0.000;5;;0.00002;0.083;
HUM FACTOR ERGON MAN;1090-8471;212;0.417;0.519;0.159;44;6.8;0.00034;0.112;
IEEE T ADV PACKAGING;1521-3323;1249;1.339;1.503;0.217;115;5.3;0.00584;0.648;
IEEE T COMPON PACK T;1521-3331;1764;1.028;1.438;0.141;92;6.9;0.00404;0.390;
IEEE T ELECTRON PACK;1521-334X;484;0.892;1.366;0.059;34;5.8;0.00146;0.412;
IEEE T SEMICONDUCT M;0894-6507;1107;0.748;1.115;0.070;57;7.9;0.00244;0.361;
IEEE-ASME T MECH;1083-4435;2033;2.577;2.596;0.354;99;5.9;0.00420;0.556;
INT J ADV MANUF TECH;0268-3768;5167;1.071;1.263;0.096;645;4.5;0.01546;0.291;
INT J COMPUT INTEG M;0951-192X;562;0.553;0.845;0.062;80;5.8;0.00160;0.242;
INT J CRASHWORTHINES;1358-8265;332;0.607;0.667;0.075;53;4.8;0.00103;0.185;
INT J IND ENG-THEORY;1943-670X;179;0.203;0.366;0.000;30;7.1;0.00024;0.065;
INT J MACH TOOL MANU;0890-6955;5382;1.919;2.359;0.277;119;7.0;0.01344;0.719;
INT J PROD ECON;0925-5273;6292;1.988;2.412;0.388;237;6.0;0.01549;0.631;
INT J PROD RES;0020-7543;6586;1.033;1.469;0.097;359;8.6;0.01090;0.384;
J ADV MECH DES SYST;1881-3054;64;0.262;0.278;0.043;115;;0.00035;0.085;
J COMPUT INF SCI ENG;1530-9827;399;0.667;1.138;0.000;47;5.5;0.00142;0.348;
J INTELL MANUF;0956-5515;854;1.081;1.384;0.056;72;6.5;0.00203;0.372;
J MANUF SCI E-T ASME;1087-1357;1472;0.567;0.915;0.081;124;7.1;0.00433;0.381;
J MANUF SYST;0278-6125;471;0.194;0.526;0.000;13;>10.0;0.00039;0.173;
J MATER PROCESS TECH;0924-0136;15777;1.570;1.730;0.267;273;6.6;0.03836;0.500;
J SCHEDULING;1094-6136;607;1.297;1.889;0.146;41;5.9;0.00318;1.012;
MACH SCI TECHNOL;1091-0344;249;0.459;0.698;0.120;25;6.8;0.00074;0.255;
MANUF ENG;0361-0853;125;0.071;0.103;0.017;58;9.2;0.00024;0.033;
MATER MANUF PROCESS;1042-6914;844;0.802;0.820;0.038;212;4.0;0.00264;0.195;
P I MECH ENG B-J ENG;0954-4054;1056;0.699;0.692;0.056;161;6.2;0.00331;0.236;
PACKAG TECHNOL SCI;0894-3214;592;1.434;1.603;0.103;39;6.0;0.00119;0.335;
PRECIS ENG;0141-6359;1262;1.619;1.494;0.253;95;8.7;0.00321;0.643;
PROD OPER MANAG;1059-1478;1556;1.851;3.147;0.312;48;6.6;0.00566;1.338;
PROD PLAN CONTROL;0953-7287;1011;0.603;0.881;0.020;51;8.4;0.00164;0.271;
RES ENG DES;0934-9839;503;1.250;1.474;0.250;16;9.5;0.00065;0.443;
ROBOT CIM-INT MANUF;0736-5845;1010;1.254;1.500;0.101;89;5.7;0.00264;0.388;
SOLDER SURF MT TECH;0954-0911;152;0.659;0.683;0.038;26;6.6;0.00037;0.182;

